date,return
2022-08-22,-0.00011043509026043008
2022-08-23,-0.00029393568947710946
2022-08-24,-0.0005283762395741354
2022-08-25,4.560988235535746e-06
2022-08-26,-4.483887276629517e-05
2022-08-29,-2.170409101764914e-05
2022-08-30,-0.0005647084454402096
2022-08-31,0.0002811894730589959
2022-09-01,-0.00014048405494671012
2022-09-02,-0.000721572834757489
2022-09-06,-0.00027738996451986964
2022-09-07,0.0004633101967308484
2022-09-08,0.0002829039212319806
2022-09-09,-0.0011035757758776077
2022-09-12,-0.0006938864964933789
2022-09-13,-0.0007386469696126774
2022-09-14,-0.00017235185550623644
2022-09-15,-0.00042901149599228194
2022-09-16,-0.00028255858407866263
2022-09-19,-0.0008382305080806285
2022-09-20,-0.0005866086673278481
2022-09-21,8.112325909581664e-05
2022-09-22,0.0005074626739445254
